diagnosis_id,condition_name,thai_name,icd_code,category,common_symptoms,risk_factors,diagnostic_criteria,differential_diagnosis,complications,typical_age_group,gender_preference,severity_levels
1,Polyarthrosis,ข้ออักเสบหลายข้อ,M15,Musculoskeletal,"ปวดข้อหลายข้อ ข้อแข็ง บวม",อายุ อ้วน ใช้ข้อมาก,ปวดข้อหลายข้อ + X-ray,ข้ออักเสบรูมาตอยด์ เก็าต์,พิการ ปวดเรื้อรัง,50+ ปี,หญิงมากกว่าชาย,เบา กลาง
2,Viral conjunctivitis,ตาแดงจากไวรัส,B30,Eye,"ตาแดง น้ำตาไหล ตาคัน",สัมผัสผู้ป่วย ไม่สุขอนามัย,ตาแดง + มีน้ำใส,ตาแดงจากแบคทีเรีย แพ้,กระจกตาอักเสบ,ทุกวัย,ไม่มีความแตกต่าง,เบา
3,Primary generalized osteoarthrosis,ข้อเสื่อมโดยทั่วไปปฐมภูมิ,M15.0,Musculoskeletal,"ปวดข้อทั่วตัว ข้อแข็ง",อายุ พันธุกรรม,ปวดข้อ + X-ray เสื่อม,ข้ออักเสบ โรคข้อรูมาตอยด์,พิการ,50+ ปี,หญิงมากกว่าชาย,เบา กลาง
4,Cellulitis,เนื้อเยื่ออักเสบ,L03,Skin,"บวมแดง ร้อน เจ็บ บริเวณผิวหนัง",แผล ภูมิคุ้มกันต่ำ เบาหวาน,ผิวหนังบวมแดงร้อน + มีไข้,ติดเชื้อลึก ลิ่มเลือด,ติดเชื้อในกระแสเลือด,ทุกวัย,ไม่มีความแตกต่าง,กลาง รุนแรง
5,Dizziness and giddiness,วิงเวียน มึน,R42,Neurological,"วิงเวียน มึนงง ไม่ดุลยภาพ",ความดันต่ำ หูชั้นใน,วิงเวียน + ตรวจร่างกาย,โรคหู โรคสมอง,ล้ม บาดเจ็บ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
6,Headache,ปวดศีรษะ,R51,Neurological,"ปวดศีรษะ บางครั้งคลื่นไส้",เครียด ไม่พักผ่อน,ปวดศีรษะ,ไมเกรน เนื้องอกสมอง,ปวดเรื้อรัง,ทุกวัย,หญิงมากกว่าชายเล็กน้อย,เบา กลาง
7,Bacterial Food-Borne Intoxication,อาหารเป็นพิษจากเชื้อแบคทีเรีย,A05.9,Gastrointestinal,"ท้องเสีย ท้องร่วง อาเจียน มีไข้",อาหารปนเปื้อน,ท้องเสียหลังกินอาหาร,ไส้ติ่ง กระเพาะอักเสบ,ขาดน้ำ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
8,Gastroenteritis and colitis,กระเพาะและลำไส้อักเสบ,A09,Gastrointestinal,"ท้องเสีย ท้องร่วง ปวดท้อง อาเจียน",ติดเชื้อ อาหารเป็นพิษ,ท้องเสีย + ปวดท้อง,ไส้ติ่ง โรคลำไส้,ขาดน้ำ โภชนาการต่ำ,ทุกวัย,เด็กเล็กเสี่ยงสูง,เบา กลาง
9,Fever of unknown origin,ไข้ไม่ทราบสาเหตุ,R50,General,"มีไข้ อ่อนเพลีย",ติดเชื้อ โรคภูมิคุ้มกัน,ไข้ >38°C ไม่พบสาเหตุ,ติดเชื้อ มะเร็ง,แทรกซ้อนจากโรค,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
10,Disorders of vestibular function,ความผิดปกติระบบทรงตัว,H81,ENT,"วิงเวียน เวียนศีรษะ คลื่นไส้",โรคหูชั้นใน,วิงเวียนหมุน + ตรวจหู,โรคสมอง ความดันต่ำ,ล้ม,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
11,Hordeolum and chalazion,ตากุ้งยิง ตุ่มหนังตา,H00,Eye,"ปวดตา ตุ่มแดงหนังตา บวม",ต่อมน้ำมันอุดตัน,ตุ่มหนังตา + แดงบวม,ตาแดง เยื่อบุตาอักเสบ,แผลหนังตา,ทุกวัย,ไม่มีความแตกต่าง,เบา
12,Conjunctivitis,เยื่อบุตาอักเสบ,H10,Eye,"ตาแดง น้ำตาไหล ตาคัน",ติดเชื้อ แพ้,ตาแดง + หนองหรือน้ำใส,ตาแห้ง โรคกระจกตา,แผลกระจกตา,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
13,Viral infection,การติดเชื้อไวรัส,B34,General,"ไข้ อ่อนเพลีย ปวดเมื่อย",ติดต่อผู้ป่วย ภูมิต่ำ,อาการไข้ + ไม่พบแบคทีเรีย,ไข้หวัด ไข้หวัดใหญ่,ปอดบวม,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
14,Muscle strain,กล้ามเนื้อเคล็ด,M62.6,Musculoskeletal,"ปวดกล้ามเนื้อ แข็ง เจ็บเมื่อยขยับ",ออกแรงมาก บาดเจ็บ,ปวดกล้ามเนื้อหลังใช้แรง,กล้ามเนื้อฉีกขาด,ปวดเรื้อรัง,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
15,Monoarthritis,ข้ออักเสบข้อเดี่ยว,M13.1,Musculoskeletal,"ปวดข้อข้อเดียว บวมแดง",บาดเจ็บ เก็าต์,ปวดข้อเดี่ยว + บวม,เก็าต์ ติดเชื้อข้อ,ข้อเสียหาย,ทุกวัย,ไม่มีความแตกต่าง,กลาง
16,Common cold,หวัดธรรมดา,J00,Respiratory,"ไข้เล็กน้อย จาม น้ำมูกใส คออักเสบ",อยู่แออัด เปลี่ยนอากาศ,อาการระบบทางเดินหายใจ,ไข้หวัดใหญ่ แพ้,ไซนัสอักเสบ,ทุกวัย,ไม่มีความแตกต่าง,เบา
17,Benign paroxysmal vertigo,เวียนศีรษะบ้านหมุนเฉียบพลัน,H81.1,ENT,"เวียนศีรษะหมุนรุนแรง คลื่นไส้",เปลี่ยนท่าเร็ว,วิงเวียนเมื่อเปลี่ยนท่า,โรคหู โรคสมอง,ล้มบาดเจ็บ,ทุกวัย,หญิงมากกว่าชาย,กลาง
18,Functional Dyspepsia,อาหารไม่ย่อย ปวดท้องส่วนบน,K30,Gastrointestinal,"ปวดท้องส่วนบน อืดเฟ้อ แสบร้อน",เครียด กินเผ็ด,ปวดท้องบน + ไม่พบแผล,แผลกระเพาะ โรคถุงน้ำดี,อาการเรื้อรัง,วัยทำงาน,ไม่มีความแตกต่าง,เบา กลาง
19,Acute upper respiratory infections,ติดเชื้อทางเดินหายใจส่วนบน,J06,Respiratory,"ไข้ เจ็บคอ ไอ จาม น้ำมูก",อยู่แออัด เปลี่ยนอากาศ,อาการทางเดินหายใจบน,ไข้หวัดใหญ่ ปอดบวม,ไซนัส หูอักเสบ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
20,Urticaria,ลมพิษ,L50,Skin,"ผื่นคัน บวมแดง",แพ้อาหาร ยา,ผื่นนูนคันไปทั่วตัว,โรคผิวหนังอื่น,บวมหายใจลำบาก,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
21,Abdominal and pelvic pain,ปวดท้องและอุ้งเชิงกราน,R10,Gastrointestinal,"ปวดท้อง ตะคริว",กระเพาะอักเสบ ลำไส้บิดเกร็ง,ปวดท้อง,ไส้ติ่ง นิ่วไต,แทรกซ้อนจากสาเหตุ,ทุกวัย,หญิงมากกว่าชาย,เบา กลาง รุนแรง
22,Acute conjunctivitis,เยื่อบุตาอักเสบเฉียบพลัน,H10.3,Eye,"ตาแดง หนอง น้ำตาไหล",ติดเชื้อ สัมผัสผู้ป่วย,ตาแดงเฉียบพลัน + หนอง,ตาแห้ง ตาแพ้,แผลกระจกตา,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
23,Lumbago with sciatica,ปวดหลังส่วนล่างร่วมกับปวดขาลงขา,M54.5,Musculoskeletal,"ปวดหลังล่าง ปวดลงขา ชา",ยกของหนัก ท่านั่งผิด,ปวดหลังล่าง + ปวดขา,หมอนรองกระดูกเคลื่อน,ชาขา พิการ,30-60 ปี,ชายมากกว่าหญิง,กลาง รุนแรง
24,Acute pharyngitis,คออักเสบเฉียบพลัน,J02,Respiratory,"เจ็บคอ กลืนลำบาก ไข้",ติดเชื้อ,คออักเสบ + ไข้,ทอนซิลอักเสบ,ฝีคอ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
25,Acute tonsillitis,ทอนซิลอักเสบเฉียบพลัน,J03,Respiratory,"เจ็บคอมาก ไข้สูง กลืนเจ็บ",ติดเชื้อ ภูมิต่ำ,ต่อมทอนซิลบวมแดง + หนอง,คออักเสบ ฝี,ฝีทอนซิล หัวใจอักเสบ,เด็กวัยเรียน,ไม่มีความแตกต่าง,กลาง รุนแรง
26,Gastritis,กระเพาะอักเสบ,K29.7,Gastrointestinal,"ปวดท้องส่วนบน แสบร้อน คลื่นไส้",เครียด แอลกอฮอล์ เชื้อ H.pylori,ปวดท้องบน + แสบร้อน,แผลกระเพาะ โรคถุงน้ำดี,แผลกระเพาะ เลือดออก,30-60 ปี,ไม่มีความแตกต่าง,เบา กลาง รุนแรง
27,Unspecified abdominal pain,ปวดท้องไม่ระบุรายละเอียด,R10.4,Gastrointestinal,"ปวดท้อง ไม่ระบุตำแหน่งชัด",หลายสาเหตุ,ปวดท้อง,ไส้ติ่ง กระเพาะอักเสบ,แทรกซ้อนตามสาเหตุ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
28,Polyarthritis,ข้ออักเสบหลายข้อ,M13.0,Musculoskeletal,"ปวดข้อหลายข้อ บวม แข็ง",โรคภูมิคุ้มกัน ติดเชื้อ,ปวดข้อ ≥4 ข้อ,ข้อเสื่อม โรครูมาตอยด์,ข้อพิการ,ทุกวัย,หญิงมากกว่าชาย,กลาง รุนแรง
29,Allergic rhinitis,เยื่อจมูกอักเสบจากการแพ้,J30.4,Respiratory,"จาม คัดจมูก น้ำมูกใส คันจมูก",แพ้ฝุ่น ไรฝุ่น,จามบ่อย + คัดจมูก,หวัด ไซนัสอักเสบ,ไซนัสอักเสบเรื้อรัง,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
30,Myalgia,ปวดกล้ามเนื้อ,M79.1,Musculoskeletal,"ปวดกล้ามเนื้อ เมื่อย",ออกแรงมาก ติดเชื้อ,ปวดกล้ามเนื้อ,กล้ามเนื้ออักเสบ,ปวดเรื้อรัง,ทุกวัย,ไม่มีความแตกต่าง,เบา
31,Vasomotor and allergic rhinitis,เยื่อจมูกอักเสบจากแพ้หรือเปลี่ยนอากาศ,J30,Respiratory,"จาม คัดจมูก เมื่อเปลี่ยนอากาศหรือแพ้",แพ้ ไวต่ออากาศ,จาม + คัดจมูก,หวัด ไซนัสอักเสบ,เยื่อจมูกอักเสบเรื้อรัง,ทุกวัย,ไม่มีความแตกต่าง,เบา
32,Other arthritis,ข้ออักเสบแบบอื่น,M13,Musculoskeletal,"ปวดข้อ บวม",หลายสาเหตุ,ปวดข้อที่ไม่ใช่ประเภทหลัก,โรคข้อต่างๆ,ข้อพิการ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
33,Acute sinusitis,ไซนัสอักเสบเฉียบพลัน,J01,Respiratory,"ปวดหน้า คัดจมูก น้ำมูกเหลือง ไข้",ติดเชื้อจากหวัด แพ้,ปวดหน้า + น้ำมูกเหลือง,หวัด แพ้,ไซนัสอักเสบเรื้อรัง,ทุกวัย,ไม่มีความแตกต่าง,กลาง
34,COVID-19,โควิด 19,U07.1,Respiratory,"ไข้ ไอ เหนื่อย หายใจลำบาก",สัมผัสผู้ป่วย ไม่ฉีดวัคซีน,ไข้ + ไอ + ATK/PCR บวก,ไข้หวัดใหญ่ ปอดบวม,ปอดบวมรุนแรง เสียชีวิต,ทุกวัย,ผู้สูงอายุเสี่ยงสูง,เบา กลาง รุนแรง
35,Migraine,ไมเกรน,G43,Neurological,"ปวดหัวข้างเดียว เห็นแสงแปลกๆ คลื่นไส้ อาเจียน",พันธุกรรม เครียด นอนไม่พอ,ปวดหัวข้างเดียวเป็นๆหายๆ,ปวดหัวเครียด เนื้องอกสมอง,ปวดเรื้อรัง ซึมเศร้า,15-55 ปี,หญิงมากกว่าชาย 3 เท่า,กลาง รุนแรง
